AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,SampleRate,Bitrate,BitsPerSample,Duration,Comment,Latitude,Longitude,GlobalScore,Time (PDT)
OFF0,AudioMoth 242A260460372176,OFF0/20210821003000.WAV,OFF0,20210821003000.WAV,46080488,384000,6000,16,60,Recorded at 00:30:00 21/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.9V and temperature was 27.7C.,32.87618,117.24717,0.989958167,17.5
OFF0,AudioMoth 242A260460372176,OFF0/20210820013000.WAV,OFF0,20210820013000.WAV,46080488,384000,6000,16,60,Recorded at 01:30:00 20/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.0V and temperature was 25.8C.,32.87618,117.24717,0.981866181,18.5
OFF0,AudioMoth 242A260460372176,OFF0/20210813023000.WAV,OFF0,20210813023000.WAV,46080488,384000,6000,16,60,Recorded at 02:30:00 13/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.4V and temperature was 24.4C.,32.87618,117.24717,0.97598052,19.5
OFF0,AudioMoth 242A260460372176,OFF0/20210816030000.WAV,OFF0,20210816030000.WAV,46080488,384000,6000,16,60,Recorded at 03:00:00 16/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.2V and temperature was 23.3C.,32.87618,117.24717,0.63047868,20
OFF0,AudioMoth 242A260460372176,OFF0/20210812040000.WAV,OFF0,20210812040000.WAV,46080488,384000,6000,16,60,Recorded at 04:00:00 12/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.5V and temperature was 22.5C.,32.87618,117.24717,0.952275753,21
OFF0,AudioMoth 242A260460372176,OFF0/20210824052000.WAV,OFF0,20210824052000.WAV,46080488,384000,6000,16,60,Recorded at 05:20:00 24/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.4V and temperature was 19.8C.,32.87618,117.24717,0.974332452,22.33333333
OFF0,AudioMoth 242A260460372176,OFF0/20210823063000.WAV,OFF0,20210823063000.WAV,46080488,384000,6000,16,60,Recorded at 06:30:00 23/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.6V and temperature was 19.9C.,32.87618,117.24717,0.914946079,23.5
OFF0,AudioMoth 242A260460372176,OFF0/20210816072000.WAV,OFF0,20210816072000.WAV,46080488,384000,6000,16,60,Recorded at 07:20:00 16/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.2V and temperature was 19.8C.,32.87618,117.24717,0.982686758,0.333333333
OFF0,AudioMoth 242A260460372176,OFF0/20210823085000.WAV,OFF0,20210823085000.WAV,46080488,384000,6000,16,60,Recorded at 08:50:00 23/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.6V and temperature was 20.7C.,32.87618,117.24717,0.529393256,1.833333333
OFF0,AudioMoth 242A260460372176,OFF0/20210814093000.WAV,OFF0,20210814093000.WAV,46080488,384000,6000,16,60,Recorded at 09:30:00 14/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.3V and temperature was 20.6C.,32.87618,117.24717,0.505294204,2.5
OFF0,AudioMoth 242A260460372176,OFF0/20210824100000.WAV,OFF0,20210824100000.WAV,46080488,384000,6000,16,60,Recorded at 10:00:00 24/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.4V and temperature was 19.6C.,32.87618,117.24717,0.851531029,3
OFF0,AudioMoth 242A260460372176,OFF0/20210822110000.WAV,OFF0,20210822110000.WAV,46080488,384000,6000,16,60,Recorded at 11:00:00 22/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.7V and temperature was 22.1C.,32.87618,117.24717,0.982148886,4
OFF0,AudioMoth 242A260460372176,OFF0/20210820120000.WAV,OFF0,20210820120000.WAV,46080488,384000,6000,16,60,Recorded at 12:00:00 20/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.9V and temperature was 22.0C.,32.87618,117.24717,0.917089343,5
OFF0,AudioMoth 242A260460372176,OFF0/20210819134000.WAV,OFF0,20210819134000.WAV,46080488,384000,6000,16,60,Recorded at 13:40:00 19/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.0V and temperature was 22.5C.,32.87618,117.24717,0.963063121,6.666666667
