AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,SampleRate,Bitrate,BitsPerSample,Duration,Comment,Latitude,Longitude,GlobalScore,Time (PDT)
OFF0,AudioMoth 242A260460372176,OFF0/20210817000000.WAV,OFF0,20210817000000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 00:00:00 17/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.2V and temperature was 29.3C.,32.87618,117.24717,0.0375265777,17.0
OFF0,AudioMoth 242A260460372176,OFF0/20210819013000.WAV,OFF0,20210819013000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 01:30:00 19/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.0V and temperature was 25.6C.,32.87618,117.24717,0.9931782484,18.5
OFF0,AudioMoth 242A260460372176,OFF0/20210812020000.WAV,OFF0,20210812020000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 02:00:00 12/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.5V and temperature was 25.5C.,32.87618,117.24717,0.9940569401,19.0
OFF0,AudioMoth 242A260460372176,OFF0/20210823030000.WAV,OFF0,20210823030000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 03:00:00 23/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.7V and temperature was 21.0C.,32.87618,117.24717,0.1033914685,20.0
OFF0,AudioMoth 242A260460372176,OFF0/20210817043000.WAV,OFF0,20210817043000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 04:30:00 17/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.1V and temperature was 22.3C.,32.87618,117.24717,0.0215660929999999,21.5
OFF0,AudioMoth 242A260460372176,OFF0/20210811051000.WAV,OFF0,20210811051000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 05:10:00 11/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.7V and temperature was 21.5C.,32.87618,117.24717,0.4453680217,22.166666666666668
OFF0,AudioMoth 242A260460372176,OFF0/20210822061000.WAV,OFF0,20210822061000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 06:10:00 22/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.8V and temperature was 22.3C.,32.87618,117.24717,0.3321094512999999,23.166666666666668
OFF0,AudioMoth 242A260460372176,OFF0/20210818074000.WAV,OFF0,20210818074000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 07:40:00 18/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.0V and temperature was 23.1C.,32.87618,117.24717,0.1648712456,0.666666666666667
OFF0,AudioMoth 242A260460372176,OFF0/20210821084000.WAV,OFF0,20210821084000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 08:40:00 21/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.9V and temperature was 22.1C.,32.87618,117.24717,0.0408008993,1.666666666666666
OFF0,AudioMoth 242A260460372176,OFF0/20210818092000.WAV,OFF0,20210818092000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 09:20:00 18/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.0V and temperature was 22.6C.,32.87618,117.24717,0.2467194796,2.333333333333334
OFF0,AudioMoth 242A260460372176,OFF0/20210821104000.WAV,OFF0,20210821104000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 10:40:00 21/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.8V and temperature was 21.7C.,32.87618,117.24717,0.4607157707,3.666666666666666
OFF0,AudioMoth 242A260460372176,OFF0/20210822115000.WAV,OFF0,20210822115000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 11:50:00 22/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.7V and temperature was 21.7C.,32.87618,117.24717,0.05830881,4.833333333333334
OFF0,AudioMoth 242A260460372176,OFF0/20210824125000.WAV,OFF0,20210824125000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 12:50:00 24/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.4V and temperature was 19.1C.,32.87618,117.24717,0.0217619537999999,5.833333333333334
OFF0,AudioMoth 242A260460372176,OFF0/20210822135000.WAV,OFF0,20210822135000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 13:50:00 22/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.7V and temperature was 20.7C.,32.87618,117.24717,0.9944938421,6.833333333333334
OFF0,AudioMoth 242A260460372176,OFF0/20210816144000.WAV,OFF0,20210816144000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 14:40:00 16/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.1V and temperature was 23.3C.,32.87618,117.24717,0.9717868567,7.666666666666666
OFF0,AudioMoth 242A260460372176,OFF0/20210815155000.WAV,OFF0,20210815155000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 15:50:00 15/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.2V and temperature was 28.7C.,32.87618,117.24717,0.9213050604,8.833333333333334
OFF0,AudioMoth 242A260460372176,OFF0/20210814164000.WAV,OFF0,20210814164000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 16:40:00 14/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.3V and temperature was 32.8C.,32.87618,117.24717,0.9665620327,9.666666666666668
OFF0,AudioMoth 242A260460372176,OFF0/20210824173000.WAV,OFF0,20210824173000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 17:30:00 24/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.4V and temperature was 29.4C.,32.87618,117.24717,0.0202262402,10.5
OFF0,AudioMoth 242A260460372176,OFF0/20210818185000.WAV,OFF0,20210818185000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 18:50:00 18/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.0V and temperature was 29.1C.,32.87618,117.24717,0.6440626383,11.833333333333332
OFF0,AudioMoth 242A260460372176,OFF0/20210818191000.WAV,OFF0,20210818191000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 19:10:00 18/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.0V and temperature was 29.9C.,32.87618,117.24717,0.9894518852,12.166666666666668
OFF0,AudioMoth 242A260460372176,OFF0/20210818202000.WAV,OFF0,20210818202000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 20:20:00 18/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.0V and temperature was 35.3C.,32.87618,117.24717,0.3480722308,13.333333333333332
OFF0,AudioMoth 242A260460372176,OFF0/20210811212000.WAV,OFF0,20210811212000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 21:20:00 11/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.5V and temperature was 37.9C.,32.87618,117.24717,0.9854403734,14.333333333333332
OFF0,AudioMoth 242A260460372176,OFF0/20210819225000.WAV,OFF0,20210819225000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 22:50:00 19/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.0V and temperature was 34.4C.,32.87618,117.24717,0.0504257381,15.833333333333332
OFF0,AudioMoth 242A260460372176,OFF0/20210816230000.WAV,OFF0,20210816230000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 23:00:00 16/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.2V and temperature was 33.6C.,32.87618,117.24717,0.0222516954,16.0
